# Backup ANTES de mover tarefas concluidas das colunas dos dias para "Finished Services"
# Regra do dono (28/08): servico concluido -- mesmo com subtarefas pendentes -- vai para
# Finished Services; na coluna do dia fica so o agendado (upcoming) e o do dia.
# Para reverter: mover o gid de volta para secao_origem.
# secoes: 1209248561126025=TUESDAY 1205141832260875=WEDNESDAY 1205141832260876=THURSDAY
#         1205141832260877=FRIDAY 1205141832260878=SATURDAY 1205141832260879=SUNDAY
# destino: 1208640396741022=Finished Services
gid,secao_origem,due_on
1217367636460133,1205141832260879,2026-08-23
1217591772959402,1205141832260879,2026-08-23
1217367636460131,1205141832260878,2026-08-22
1217594555399871,1205141832260878,2026-08-22
1217367636460125,1205141832260877,2026-08-21
1216899032446333,1205141832260875,2026-08-12
1217162339020904,1205141832260877,2026-08-07
1217162339020902,1205141832260876,2026-08-06
1217151363025830,1205141832260876,2026-08-06
1217162339020900,1205141832260875,2026-08-05
1216760479094480,1205141832260876,2026-07-23
1215109044161306,1205141832260877,2026-06-05
1213973390397274,1209248561126025,2026-04-26
1213467556319747,1205141832260875,2026-03-18
1213665187846825,1205141832260875,2026-03-18
1213575488095500,1205141832260878,2026-03-14
1213453349665219,1205141832260879,2026-03-08
1213467556319745,1205141832260878,2026-03-07
1213275353713612,1205141832260879,2026-03-01
1213079234335277,1205141832260879,2026-03-01
1213436695323254,1205141832260879,2026-03-01
1211360891361760,1205141832260879,2025-10-12
1211079717979355,1209248561126025,2025-10-07
1211079717979353,1209248561126025,2025-09-23
1209067785957658,1205141832260878,2025-09-20
1210639018182067,1209248561126025,2025-09-09
1211177098428363,1209248561126025,2025-09-02
1209176738074893,1209248561126025,2025-08-26
1211085860550255,1209248561126025,2025-08-19
1209176738074892,1209248561126025,2025-08-12
1210955520042911,1205141832260875,2025-08-06
1209176738074891,1209248561126025,2025-07-29
1209176738074890,1209248561126025,2025-07-15
1210639018182068,1205141832260879,2025-06-29
1210466775237822,1205141832260878,2025-06-28
1210152525673505,1205141832260877,2025-05-30
1210381567922102,1209248561126025,2025-05-27
1210101337303448,1205141832260877,2025-05-23
1210124878119387,1205141832260879,2025-05-11
1210082111069309,1205141832260877,2025-05-04
1210082111069313,1205141832260876,2025-05-04
1210088255004002,1205141832260876,2025-05-04
1210088255004000,1205141832260876,2025-05-04
1210098318683302,1205141832260876,2025-05-04
1209937381161349,1205141832260877,2025-04-27
1209464404167194,1205141832260879,2025-03-30
1209464404167193,1205141832260878,2025-03-29
1209464404167192,1205141832260877,2025-03-28
1209464404167195,1205141832260876,2025-03-27
1209739516448511,1205141832260878,2025-03-22
